Time[s],TMc_SBW(-)19.04.11_Ver1.00_Backup::SCU11::SCU_POS_TAR,TMc_SBW(-)19.04.11_Ver1.00_Backup::SCU11::SCU_POS_ACT,TMc_SBW(-)19.04.11_Ver1.00_Backup::SCU_MCP::SCU_S2_PWM
23.930000,7,6,37.400000
23.940000,7,6,37.400000
23.950000,7,6,37.400000
23.960000,7,6,37.733650
23.970000,7,6,38.877623
23.980000,7,6,40.512929
23.990000,7,6,41.923870
24.000000,7,6,42.864619
24.010000,7,6,43.883710
24.020000,7,6,45.582983
24.030000,7,6,48.343204
24.040000,7,6,50.658941
24.050000,7,7,51.400000
24.060000,7,7,51.400000
24.070000,7,7,51.400000
24.080000,7,7,51.454376
24.090000,7,7,51.500000
24.100000,7,7,51.607920
24.110000,7,7,51.700000
24.120000,7,7,51.970258
24.130000,7,7,52.430079
24.140000,7,7,52.768321
24.150000,7,7,53.179663
24.160000,7,7,53.730519
24.170000,7,7,54.228675
24.180000,7,7,54.455832
24.190000,7,7,54.500000
24.200000,7,7,54.447730
24.210000,7,7,54.400000
24.220000,7,7,54.344337
24.230000,7,7,54.300000
24.240000,7,7,54.300000
24.250000,7,7,54.300000
24.260000,7,7,54.300000
24.270000,7,7,54.300000
24.280000,7,7,54.300000
24.290000,7,7,54.300000
24.300000,7,7,54.300000
24.310000,7,7,54.300000
24.320000,7,7,54.300000
24.330000,7,7,54.300000
24.340000,7,7,54.300000
24.350000,7,7,54.300000
24.360000,7,7,54.300000
24.370000,7,7,54.300000
24.380000,7,7,54.300000
24.390000,7,7,54.300000
24.400000,7,7,54.300000
24.410000,7,7,54.300000
24.420000,7,7,54.300000
24.430000,7,7,54.300000
24.440000,7,7,54.300000
24.450000,7,7,54.300000
24.460000,7,7,54.300000
24.470000,7,7,54.300000
24.480000,7,7,54.300000
24.490000,7,7,54.300000
24.500000,7,7,54.300000
24.510000,7,7,54.300000
24.520000,7,7,54.300000
24.530000,7,7,54.300000
24.540000,7,7,54.300000
24.550000,7,7,54.300000
24.560000,7,7,54.300000
24.570000,7,7,54.300000
24.580000,7,7,54.300000
24.590000,7,7,54.300000
24.600000,7,7,54.300000
24.610000,7,7,54.300000
24.620000,7,7,54.300000
24.630000,7,7,54.300000
24.640000,7,7,54.300000
24.650000,7,7,54.300000
24.660000,7,7,54.300000
24.670000,7,7,54.300000
24.680000,7,7,54.300000
24.690000,7,7,54.300000
24.700000,7,7,54.300000
24.710000,7,7,54.300000
24.720000,7,7,54.300000
24.730000,7,7,54.300000
24.740000,7,7,54.300000
24.750000,7,7,54.300000
24.760000,7,7,54.300000
24.770000,7,7,54.300000
24.780000,7,7,54.300000
24.790000,7,7,54.300000
24.800000,7,7,54.300000
24.810000,7,7,54.300000
24.820000,7,7,54.300000
24.830000,7,7,54.300000
24.840000,7,7,54.300000
24.850000,7,7,54.300000
24.860000,7,7,54.300000
24.870000,7,7,54.300000
24.880000,7,7,54.300000
24.890000,7,7,54.300000
24.900000,7,7,54.300000
24.910000,7,7,54.300000
24.920000,7,7,54.300000
24.930000,7,7,54.300000
24.940000,7,7,54.300000
24.950000,7,7,54.300000
24.960000,7,7,54.300000
24.970000,7,7,54.300000
24.980000,7,7,54.300000
24.990000,7,7,54.300000
25.000000,7,7,54.300000
25.010000,7,7,54.300000
25.020000,7,7,54.300000
25.030000,7,7,54.300000
25.040000,7,7,54.300000
25.050000,7,7,54.300000
25.060000,7,7,54.300000
25.070000,7,7,54.300000
25.080000,7,7,54.300000
25.090000,7,7,54.300000
25.100000,7,7,54.300000
25.110000,7,7,54.300000
25.120000,7,7,54.300000
25.130000,7,7,54.300000
25.140000,7,7,54.300000
25.150000,7,7,54.300000
25.160000,7,7,54.300000
25.170000,7,7,54.300000
25.180000,7,7,54.300000
25.190000,7,7,54.300000
25.200000,7,7,54.300000
25.210000,7,7,54.300000
25.220000,7,7,54.300000
25.230000,7,7,54.300000
25.240000,7,7,54.300000
25.250000,7,7,54.300000
25.260000,7,7,54.300000
25.270000,7,7,54.300000
25.280000,7,7,54.300000
25.290000,7,7,54.300000
25.300000,7,7,54.300000
25.310000,7,7,54.300000
25.320000,7,7,54.300000
25.330000,7,7,54.300000
25.340000,7,7,54.300000
